gameid,role,gameLength,thinksHuman,understandsInstructions,nativeEnglish,ratePartner,comments,strategy
9075-90e715e1-6ed3-4c5d-931a-00a4ea65040f,matcher,2709235,no,yes,yes,not much,"yes, I don't get why it takes my partner FOREVER to give instructions, the entire thing took me 40+ minutes to complete!!!",I assume all moves are by 1
6388-22eafe0c-1cb4-4052-890a-288a65fcbb89,director,1087892,yes,yes,yes,okay,"I think I experienced a glitch during round 7. I was unable to enter messages to my partner without them being immediately deleted before I hit send, and it seemed like my partner was having trouble moving the object around? I wasn't sure if it was part of the experiment or not, but it was strange.",I tried to describe the object as clearly as I could and gave directions as clearly as possible
1597-73e41f61-cc59-4bc5-9604-b4d8fcde5330,matcher,1208644,yes,yes,yes,liked,no,just following instructions 
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,director,1486650,yes,yes,yes,liked,"I thought it was a fun experiment. I would like to have a chance to be on the other side.

I did read the instructions carefully and looked back at them when I was answering the questions. However, part of the way through the experiment, I started to doubt whether I was following them correctly.

I remember that it said not to reference items by where they were on the board, and instead to describe them. I did that, but I couldn't remember if directions like Up and Down were allowed or even if they were mentioned.","I used the name of the object and told the other person which direction to move it, giving more information and referencing other objects when I thought it would be helpful."
6757-0b967c88-51bc-41f6-8dc0-fb4063bfdbeb,matcher,1089435,no,yes,yes,loved,Thanks! I had so much fun :).,I just tried to listen to the communicator the best and use my best judgement when he wasn't detailed in the directions.
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,matcher,1355552,yes,yes,yes,okay,thanks,just focus
4455-7c98f9ab-684a-4a7f-a655-d6e3feaa8dbd,director,760863,yes,yes,yes,okay,None,I wanted to use less letters and to be quick
1319-aa1b7da5-7bad-49c3-9664-b87dec4d800f,matcher,1103776,yes,yes,yes,not much,perhaps have an estimated queue timer,"was unable to play, partner disconnected"
8712-3da310b4-6a34-489a-8e2e-238d9174810a,matcher,685041,yes,yes,yes,loved,thank you.,following orders by way of text.
8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee,matcher,1780763,yes,yes,yes,liked,Thank you! This was fun!,"Tried my very best to follow instructions which were provided, I found it easy overall but difficult when not enout detail was provided. (i.e. move the mouse down 2 squares. A small stuffed mouse appeared on the screen and a computer mouse. Of course I moved the wrong one.)"
5916-4a09d33d-d36c-467e-8055-d69a03a6529e,matcher,281136,yes,yes,yes,not much,I'm sad I didn't get to play. My partner lost connection :( ,N/A
1968-d8d8332d-9575-41ab-a27d-19aaae052df1,director,1153239,yes,yes,yes,loved,Fun study. I really enjoyed it. Thank You!,I used as little information as possible to have him/her move the object to correct position.
7771-25381e94-e2c4-4093-89e5-870e7a8fc8d4,director,372525,no,yes,yes,okay,no,I typed out clear instructions on how to move the object
8538-cb44f86e-9bb4-4bb0-91b7-fcb7f3d080bf,matcher,672747,yes,yes,yes,okay,,I simply followed the instructions but there was at least one time where I had forgotten that the director can not see behind the curtain for some objects and I should have messaged warnings to the director for these.
3939-336bee88-147c-4eae-acf1-d445290e6384,matcher,681641,yes,yes,yes,okay,none thanks!,just tried to follow directions
9812-c8bf7480-90ac-4909-a186-acefc1ab4cc2,matcher,824154,yes,NA,yes,NA,,
2355-7948ce1d-148a-4d70-a344-43ca3aa3ff3e,director,784638,yes,yes,yes,liked,"Would love to see more hits like this, thank you!",Using directions including up/down one or left/right one
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,director,1380605,yes,yes,yes,okay,Very interesting!,I tried to keep the instructions as simple as possible.  I wanted to be polite to the other player so they would feel respected.
9953-68c853c3-ef8a-4927-85a5-00fbc0d251e6,matcher,188187,yes,yes,yes,okay,No comments to be made due to my partner's disconnection,I was not able to complete the game due to my partner's disconnection
7986-c20fcf00-00a5-4f25-a4a4-4c51a3acac9a,matcher,934996,yes,NA,yes,NA,,
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,director,976598,no,yes,yes,okay,,speak plainly and specifically 
4174-2779bbb5-e1a1-478e-ad42-96cc99142102,matcher,116713,yes,yes,yes,liked,,I thoroughly read through the instructions and internalized them.
2355-7948ce1d-148a-4d70-a344-43ca3aa3ff3e,matcher,721151,yes,yes,no,liked,,I focused on the message my partner send me to match the things to their new space. 
7879-6b108512-4ef5-4a09-ba00-34456c55675c,matcher,132087,yes,yes,yes,not much,thank you!,I just followed one instruction from the director and it seems like they disconnected.
6757-0b967c88-51bc-41f6-8dc0-fb4063bfdbeb,director,1222827,yes,yes,yes,liked,None,The strategy I used was to describe the item and color and explain which way to move it.
4455-7c98f9ab-684a-4a7f-a655-d6e3feaa8dbd,matcher,814535,no,yes,yes,liked,I thought the director was not real because the one time I asked a question I did not receive a response. But the rest of the time the director was typing very fast.,"I just followed what the director stated. after making one mistake early on, I was sure to be mindful that the director cannot see what is in the curtain spaces. So I didn't want to mistakenly move those."
8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee,director,1723940,yes,yes,yes,okay,,"I mostly referenced the other pieces that I was moving towards, as well as the number of squares. "
7744-d41dd430-a713-4edf-a863-c1cde5455560,director,1206757,no,yes,yes,loved,Interesting and fun. Thank you!,I tried to be as detailed about the item as I could.
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,director,1396965,yes,yes,yes,loved,no,I described the object to be moved in detail
2762-7c6e403e-e6c1-434c-a474-f37162627a34,matcher,1027027,yes,yes,yes,loved,It was fun!,I followed the directions of the director. Looked at all items on the map and moved the best choice based on his or her description.
1968-d8d8332d-9575-41ab-a27d-19aaae052df1,matcher,1294630,yes,yes,yes,liked,Very nice,It is used for comment strategy.
1597-73e41f61-cc59-4bc5-9604-b4d8fcde5330,director,1281712,no,yes,yes,okay,thanks!,tried to use descriptive words
9812-c8bf7480-90ac-4909-a186-acefc1ab4cc2,director,820867,yes,NA,yes,NA,,
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,director,1121155,yes,yes,yes,loved,I really enjoyed this hit a lot. its one of my favorite hits I've done so far.,I would tell them the row and the number of the square and what direction i wanted them to put it. so like 3rd-row 4th square move up 1 square. like that
4203-2a5f910b-59d7-400f-8e01-5152a2ac155c,director,551043,yes,yes,yes,okay,I lost connection I believe. ,I was straightforward there wasn't anything tricky about it. 
7986-c20fcf00-00a5-4f25-a4a4-4c51a3acac9a,director,1066440,yes,yes,yes,okay,this was a very different activity. i enjoyed doing something a little different on Mturk,"I was clear in my instructions. i named the object and how many spaces to move and what direction such as up or down, or right, left"
5862-da817f5f-5ac9-47f3-b2ca-34a68eff59fc,director,1748165,no,yes,yes,okay,experiment was enjoyable,strategic
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,matcher,1417091,no,yes,yes,not much,My partner was so slow he had to be doing another hit at the same time. Also he described things so strangely. Also he doesnt know what a panda is. I was pretty sure he was a robot.,read the instructions of the director
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,matcher,1138994,yes,yes,yes,loved,Thanks for the task.,I just tried to figure out what the director was wanting me to move.
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,matcher,968838,yes,yes,yes,okay,No,Follow exactly what the other person says
3939-336bee88-147c-4eae-acf1-d445290e6384,director,746339,yes,NA,yes,NA,,
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,director,858628,yes,yes,yes,liked,no,I just followed the arrows and told the other player what to do.
5106-87778c2e-b0d4-4aa0-881f-824ae700e248,director,1234505,no,yes,yes,loved,wonder what it is trying to prove!,make the instructions simple
4166-9165e3c0-9da5-4f98-9307-c64fc9b509aa,director,656057,yes,yes,yes,liked,It was actually fun. I learned to describe the items more accurately because there could have been similar items under the curtains.,"I tried describing the items and where to go, pretty simply."
3374-01519e79-6759-4f00-b000-cbd5605c12bb,director,779452,yes,yes,yes,loved,,Tried to be succinct 
6085-ef7dd3b1-8500-4b16-aa7a-fa95bcc0ebc9,director,881035,yes,yes,yes,okay,"all was good, was fun",tried to distinguish the items
2171-b43de3b8-2af5-4e83-b8d2-8e6e4a938c8f,director,753674,yes,yes,yes,loved,,to do it as fast as possible with less words
7329-6db17199-1eaa-4ece-95b4-a3d06e98ae3d,director,671913,yes,yes,yes,loved,,I tried to simplify the best I could stating the color of the object and the name I thought most would know
3211-fbe14ddb-629f-462b-a888-1838770f3fa6,matcher,965982,yes,yes,yes,okay,,"I tried to follow his directions, at least using a move consistent with the direction if it were vague"
4694-055e34cd-c722-495d-aafa-d349829c3c02,director,808896,no,yes,yes,liked,Fun and interesting study!,"No strategy, I just followed the arrow and described to the Matcher where to move."
5183-23d8a846-f3f4-44ab-b616-40a98cb5ffbe,matcher,560792,no,yes,yes,okay,Thank you.,Followed instructions
7525-4c9ece91-607e-46dc-9e3a-82c40745fb88,director,382566,yes,yes,yes,okay,,I communicated exactly what I meant after messing up the first time
4369-ab1aef0c-07fa-4dbc-8638-da8b22b17317,director,470309,yes,yes,yes,loved,This was fun.  I hope to do more like this.  I was disappointed we lost connection as I would have liked to see how much I could have gotten for a bonus!,just be clear and as simple as possible with directions
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,matcher,922565,no,yes,yes,okay,,just tried to follow instructions
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,director,1092207,no,yes,yes,loved,n/a,short and easy word
0715-06250ca0-7a76-4415-8f41-b39fa652d804,matcher,1009507,yes,yes,yes,loved,"My only thought is that I think the experiment moved longer than I expected. My partner and I were quick, and with only 3 mistakes it still took us about 20 minutes to complete. Other than that great Hit.",I just made sure I read the sentence clearly each time.
7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9,director,575256,yes,yes,yes,loved,no,I just typed what I seen.
5259-daa2fa4b-e576-4bbd-8cc6-da44de38d900,director,917352,yes,yes,yes,loved,,
5259-daa2fa4b-e576-4bbd-8cc6-da44de38d900,matcher,1023045,yes,yes,yes,loved,"I was amused how I made a few mistakes even though I understood the rules. Sometimes my impulse got the better of me. Also, there were objects similar to the description that I received like ""glass"" or ""candle"" which I made a mistake with as well. Overall, it was a neat communication game. I enjoyed it. Thank you! :)","It was my job to listen to instructions. I forgot twice that the director couldn't see what was behind the curtain. I knew that intellectually but I caught myself clicking on item behind a curtain once or twice without thinking. Overall, I needed to pay attention to the details of each object to make sure to move the right one to the proper new spot."
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,matcher,802075,yes,yes,yes,okay,,the person told me the object and where to move it and how many squares
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,matcher,1125100,yes,yes,yes,liked,"I thought it was fun, thank you for making it. ",Describing the item by colors on it was the most useful and then the direction. 
4035-5e94d67a-13ff-48d6-83ba-495968a89553,matcher,1071178,yes,NA,yes,liked,"This was interesting, I haven't done anything like this before. The directions were clear, but a little long, might've been easier if they were more brief.",Tried to follow the directions as best I could
5500-52e40b54-14b4-4e61-8fbc-37f9d794428e,matcher,1294960,yes,yes,yes,okay,no,
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,director,905299,yes,NA,yes,NA,,
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,director,1112701,no,yes,yes,okay,no,gueesing
4166-9165e3c0-9da5-4f98-9307-c64fc9b509aa,matcher,651359,yes,yes,yes,loved,,Follow the director's instructions and try to remember that they can't see what is behind the curtains
1234-5ac8bd32-ca82-49da-813e-4109fc7dafc2,matcher,1436412,yes,yes,yes,liked,,following instructions 
1129-54869797-8935-4726-bad6-4b365484378d,matcher,605760,yes,yes,yes,liked,"It was ok,  would have been better if the two boxes aligned with each other and didn't have to scroll up and down each time.",I just read what they told me and did it.
5862-da817f5f-5ac9-47f3-b2ca-34a68eff59fc,matcher,1654567,no,yes,yes,okay,,I followed the given directions.
7977-1c061827-b189-446f-89fd-3624fdaa57d9,matcher,835468,yes,yes,yes,okay,None,Listen to what the guy had to say.
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,director,762464,yes,yes,yes,okay,"There was a living mouse behind the curtain on the grid where we needed to move the computer mouse, wasn't there?","State the object and the direction--make sure to include an adjective in case there was more than one of the object, one behind curtains."
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,matcher,778250,no,yes,yes,liked,"Interesting hit, and I'm glad I was paired with another human!",Be mindful of the instructions and of the fact that the Director can't see items behind the curtain.
8538-cb44f86e-9bb4-4bb0-91b7-fcb7f3d080bf,director,648772,yes,yes,yes,loved,N/A,I tried to keep the instructions simple and in the same format while describing the objects in as specific but brief a way as possible.
9184-f0d97cb9-887e-4450-9a07-6104da5e6d2b,director,1139178,yes,yes,yes,liked,,simple and if the other person got it wrong tried to add a description word.
4872-eb216959-c47d-4b9b-9201-98a6b197b0df,matcher,1664096,no,yes,yes,liked,none,To see if the director was good at giving directions without being able to see what objects were on the entire grid.
5500-52e40b54-14b4-4e61-8fbc-37f9d794428e,director,1360424,yes,yes,yes,okay,,"Very basic, used the given prompt to instruct partner "
4422-19abb38e-72c1-4c70-9fe4-d514b2327887,matcher,606237,yes,yes,yes,liked,,It was cool
9266-fb50539a-cc20-4cd3-9222-db5a5eeef46e,director,450139,yes,yes,yes,loved,"this was sort-of fun, no complaints","it was pretty easy, I am not sure I needed a strategy except to describe the object and where it should go"
6311-dc082b71-244c-45d7-b61e-9e2b248007e8,director,831003,yes,yes,yes,liked,,I tried to be specific incase there were objects behind the curtains.
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,director,1477078,yes,yes,yes,liked,"This was fun, but I wish I had gotten to play the other side!",Name objects as simply and clearly as possible and when it appears that more than one such object exists reference other points to help distinguish.
7977-1c061827-b189-446f-89fd-3624fdaa57d9,director,1074146,yes,yes,yes,liked,"I didn't like not being warned that some of the answers were going to be filled in for me, instead of me writing all the directions as I'd been led to believe.  I also didn't like that when I ended sentences with a period it showed up instead as a set of three tildes.","My strategy was to describe the color of the object, especially if I couldn't be as specific as I'd have liked to be with the terminology for the item itself."
1027-5bb92b1d-edaa-4108-b379-99b869cc83d9,matcher,722670,no,yes,yes,liked,That was interesting...,I would read the directions twice before I did anything.
1234-5ac8bd32-ca82-49da-813e-4109fc7dafc2,director,1495766,yes,confused,yes,okay,"I made sure not to refer to an item based on its location but I wasn't sure if I was supposed to say things like ""left, right, up, down"" for what direction to move in",I just tried to describe the item and what direction to move it in
0914-515eaa37-ca0b-49de-8ade-e23d75984698,matcher,1259297,no,yes,yes,loved,I hope my inputs are helpful to your research.,I paid close attention to the instructions received from the Director and executed them exactly.
0538-e2547271-2750-4461-ac40-4d5b18fd8344,director,2040252,no,yes,yes,okay,The other player seemed to stop playing after round 7: I got no action from him though I restated the direction four different ways. I was just about to return the hit when this screen appeared.,"I tried to use simple commands. If there was an error I would try to be *more explicit*, since I assumed there were multiple objects of the same kind, some of which I could not see. At one time, I said to use the 'other' item, and that worked."
0914-515eaa37-ca0b-49de-8ade-e23d75984698,director,1356608,yes,yes,yes,loved,"I confused myself briefly about the cubby orientation, ie what I saw vs what my partner saw. Could be made more clear? Unless this was an experimental question. ",I was clear about directions if they were to move an item into a cubby and careful to fully describe the directions they were to move the item and described the item
9184-f0d97cb9-887e-4450-9a07-6104da5e6d2b,matcher,1021722,no,yes,yes,okay,no,"The strategy itself was simple. They direct you, you make the move."
3142-17745434-b08f-4281-bf4f-f954417b64e5,director,859217,yes,yes,yes,liked,,describe the item as much as i could
7780-91e7f829-76b3-474e-8a56-bce331d65d6b,director,422641,yes,yes,yes,liked,none,keep it simple
4035-5e94d67a-13ff-48d6-83ba-495968a89553,director,946260,yes,yes,yes,liked,,Just tried to simplify it
8612-41ae38d8-20af-4ddd-a6c2-026e1af6d51c,director,176748,yes,yes,yes,not much,No,Simple words instruction
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,director,1684398,no,yes,yes,liked,Thank you for the study ,Keep it simple and show significant feature 
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,matcher,1298370,yes,yes,yes,liked,None,I feel it was good.
1027-5bb92b1d-edaa-4108-b379-99b869cc83d9,director,833010,yes,yes,yes,liked,"I enjoyed the experiment! It was most interesting when the other player picked items from the hidden squares, which forced me to write a more thorough description of the item I wanted.","I gave clues in the simplest manner possible. When it turned out to be incorrect because there were multiple versions of the same items, I then specified which one I was talking about by getting more descriptive (color, e.g.)."
4972-ce06e036-981b-4b51-b414-5bebcdced745,matcher,603378,no,yes,yes,okay,"I still don't believe I was playing with another person in real time. The orders could have been human-generated, but they seemed to come from multiple different people.","I followed the instructions. After the first mistake, I realized not to use the objects behind curtains."
1873-84b792d7-8ca5-4803-b3de-aefcb4e7d1a6,director,508174,no,yes,yes,loved,This was a little odd but interesting,plain and simple directions
4972-ce06e036-981b-4b51-b414-5bebcdced745,director,516435,yes,yes,yes,okay,,Just describe the item as carefully as possible
3142-17745434-b08f-4281-bf4f-f954417b64e5,matcher,816649,no,yes,yes,okay,no,I followed instructions
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,matcher,577127,yes,yes,yes,okay,,"I listened to what the human player said, and took into account that he/she couldn't see behind the curtains."
6388-22eafe0c-1cb4-4052-890a-288a65fcbb89,matcher,999326,no,yes,yes,not much,no.,I just did what the director told me as instructed.
2564-23a79e32-5329-47f0-bd7a-f256e0e3afec,matcher,598478,no,yes,no,okay,Too bad we did not finish the experiment. ,I try to follow the instructions
5035-3e68b0b0-161c-4a2a-a80e-91bc93cc4a5a,matcher,321028,yes,yes,yes,loved,"It was so easy, I'm wondering if the directions should have been more vague.",I just followed the directions which were straightforward.
4526-74f81656-28a1-40dd-bfc3-abda88672197,director,357714,yes,yes,yes,not much,It's too bad my partner disconnected immediately.,Fun!
8008-3863a375-93c2-4672-b89f-7a9a4f35c72c,director,611437,yes,yes,yes,loved,None.,"There was no strategy involved, I simply told the other person where to move the object."
9489-f1b6be6b-0365-42fa-983a-bf08215320d8,matcher,346036,yes,yes,yes,liked,fun!,No strategy. Just tried to follow instructions
4062-d2f8112c-9530-4189-a2a5-c0e67e66e340,matcher,270280,yes,yes,yes,liked,,I was the matcher so it was necessary for my partner to thoroughly explain what they wanted me to do
2564-23a79e32-5329-47f0-bd7a-f256e0e3afec,director,583511,no,yes,yes,okay,,Just used accurate descriptions
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,matcher,631785,no,yes,yes,liked,None thank you!,I followed the instructions
4062-d2f8112c-9530-4189-a2a5-c0e67e66e340,director,285869,yes,yes,yes,okay,No.,I just described where to move stuff.
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,matcher,854820,no,yes,yes,liked,,"A lot of waiting, for the next instruction"
1129-54869797-8935-4726-bad6-4b365484378d,director,638626,yes,yes,yes,liked,"On some of the trials, the instruction was already written in the box and I couldn't change it. (I was the director.)  I could only hit ""send"".  I'm not sure if that's how things were supposed to work but I was surprised that for about half the trials I couldn't actually write what I wanted.","I tried to describe the object as clearly as I could, making sure it was different from other objects I could see, and then give a clear instruction on where to move it."
3398-9e59764f-161c-40af-ad2b-17b184ed3edc,director,698932,yes,yes,yes,liked,,My strategy was to provide the best instructions for the other person. I normally just described the object and give details about how far to move it (example: down one)
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,director,738668,yes,yes,yes,okay,No,"Simple directions, but after the first missed one I realized I needed to be more descriptive in case there was something similar in a box I can't see."
4369-ab1aef0c-07fa-4dbc-8638-da8b22b17317,matcher,439491,no,yes,yes,okay,,I read the directions clearly and did what it said
8514-5a019ae6-9774-46f7-b52b-36454d7adc0c,matcher,707398,yes,confused,yes,not much,I was confuse. I was hoping at the same time my partner would put all the items into the curtain.,I believe there was no strategy and the director made all the decision
7799-d174c147-343b-43b9-8b31-bb290ead7a75,director,361266,yes,yes,yes,okay,"Was fun, and I wish my partner hadn't left!",I described the objects and hoped the person moving them did the correct thing.
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,director,1120907,yes,yes,yes,okay,sometimes directions I entered would disappear as soon as I hit send,"Used simple, direct terms"
3785-62760656-7999-442d-9e6e-80d57f6997d3,matcher,462989,no,yes,yes,not much,No.,I just tried to listen
9164-172a1b2e-7b04-4b19-88de-1382c687e304,matcher,370409,yes,yes,yes,okay,,I followed their exact instructions
6189-2f479adc-a6f3-41e9-9aae-3d7148abd432,director,274470,yes,yes,yes,not much,I kinda wish I could have completed the hit.,I listed the item that needed to be moved and instruction where to move it and how many times to move it. 
8008-3863a375-93c2-4672-b89f-7a9a4f35c72c,matcher,611883,yes,yes,yes,okay,,"I didn't really have one - it was very straight forward.  I did initially forget that the Director couldn't see behind the curtain, so for example I moved the wrong mouse when he/she said to move the mouse."
1611-d2a531f8-8bae-4223-bf25-032ebc660b66,matcher,366599,yes,yes,yes,loved,No,I did what I was told
8831-a9e4a1f5-3030-486f-8c21-4304d325728a,director,194889,yes,yes,yes,liked,No other comments,I followed the instructions but did not have time to develop a strategy because my partner disconnected
7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9,matcher,544414,yes,yes,yes,okay,No,Both partners needed to cooperate.
9189-ba055cb2-b571-4871-8afd-ee39be9172be,director,105185,yes,yes,yes,liked,,I just told the other player where to move based on what i saw.
8831-a9e4a1f5-3030-486f-8c21-4304d325728a,matcher,109915,NA,NA,yes,NA,"
Oops! It looks like your partner lost their connection!","
Oops! It looks like your partner lost their connection!"
7483-937857fa-3762-45d4-8273-61f4152c65fe,director,743151,yes,yes,yes,okay,"I liked my own instructions better than yours, sorry!",to try to write my own questions instead of the computer filling them in for me :(
0771-ecbcf018-95f2-4e94-a411-b996093c3c68,director,993989,no,yes,yes,liked,Thank You! I enjoyed the study with no problems.,"I realized that their may be similar objects with a different color, and objects that have similar names but are different in shape. So I started explaining things in terms of colors and features of the objects, and I kept the movement basic. "
3647-5f962f11-31c0-4cd8-96e1-b9f5ac655d11,director,745714,yes,yes,yes,loved,this was a lot of fun,tried to be as simple as possible 
3647-5f962f11-31c0-4cd8-96e1-b9f5ac655d11,matcher,711723,yes,yes,yes,liked,thank you for posting on mturk.,my strategy was to follow instructions and not move anything that was under a curtain.
4654-18429eb7-4402-4161-b97e-cbb4e3adeb7b,director,479852,yes,yes,yes,loved,,naming the item and identifying color and then direction
6068-59d1743c-c6f4-46d8-b524-4834fd4c43cf,director,501919,yes,yes,yes,okay,no thanks,fast and clear
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,director,643868,yes,yes,yes,liked,,"I just named the item and gave the direction. If I thought it could be ambiguous with a hidden item, I gave a little more detail like the color."
4203-2a5f910b-59d7-400f-8e01-5152a2ac155c,matcher,504302,yes,yes,yes,liked,no,I just did what they told me to do and ignored the objects they could not see.
7525-4c9ece91-607e-46dc-9e3a-82c40745fb88,matcher,378516,yes,yes,yes,liked,none,I followed the directions they gave me and tried to make sure I was careful. I forgot a couple times they couldn't see the curtain boxes
6085-ef7dd3b1-8500-4b16-aa7a-fa95bcc0ebc9,matcher,966251,yes,confused,yes,loved,I read the instructions but if was only after two wrongs that I remembered that the director could not see what I could see on the curtain blocks.  Therefore I then knew not to move any of them.,Since I was the matcher I did what the director told me to do. 
1635-e2c06555-51df-40a9-8550-3d1d03139793,director,436025,yes,yes,yes,okay,Nope.,I followed the directions to be as clear as possible.
8558-1965dc82-dc2c-42ea-be04-6af05278b5d9,matcher,666302,yes,yes,yes,liked,"why did he quit?
",i followe dthe dirI followed the diredxctors ector lead
7799-d174c147-343b-43b9-8b31-bb290ead7a75,matcher,373763,yes,yes,yes,okay,,I was the matcher and I would just follow their direction.
6627-763d407c-7492-4c05-bba9-d6f249173a8f,director,138666,yes,yes,yes,not much,My partner lost their connection.  ,My partner lost their connection :(
1265-dda0c278-294f-47c4-abcd-f8a8ef498f56,matcher,461731,yes,yes,yes,okay,no,following directions
7296-7cd39165-082a-4c25-8f63-658a2e945961,matcher,253061,yes,yes,yes,okay,My partner seems to have bailed or lost their connection very early in the experiment. ,I simply did what they told me.
3854-4096ea0a-299d-4d6b-9a80-5223d4b04902,director,549551,yes,yes,yes,loved,Sometimes the instructions were already input for me and I couldn't change them. Was that by design? sometimes I would have worded it a little differently.,Describe the object as plainly as possible and tell the other player where to move it
1578-92cffe95-8e93-4ad2-8078-2d0ec1c7442f,director,825241,yes,yes,yes,liked,,"Using clear and concise instructions, specifying a color if I needed."
0771-ecbcf018-95f2-4e94-a411-b996093c3c68,matcher,728233,yes,yes,yes,liked,Nope,I just followed the directions that the director was giving
7771-25381e94-e2c4-4093-89e5-870e7a8fc8d4,matcher,304794,yes,yes,yes,okay,,I just tried to follow the instructions the director gave me. 
9266-fb50539a-cc20-4cd3-9222-db5a5eeef46e,matcher,407728,yes,yes,yes,liked,,very simplistic and straight forward due to clear instructions from the director 
9489-f1b6be6b-0365-42fa-983a-bf08215320d8,director,391430,no,yes,yes,loved,This is fun. I hope the partner really lost their connection!,I just told the person where the object is and give the command. 
7975-32a7aea5-ac36-46c8-aee9-e8872dc31ce9,director,190093,yes,yes,yes,okay,,Just explaining the direction to go?
0781-151127b9-9897-445d-81d8-5c05002ec7cc,director,345865,no,yes,yes,okay,,I described the object that needed to be moved
6189-2f479adc-a6f3-41e9-9aae-3d7148abd432,matcher,372821,yes,yes,yes,liked,Thanks for the opportunity. I would've liked to go through the whole experiment but I understand technical issues happen.,I had to follow the Director's instructions. I realized I needed a little more info because there were two brushes on the first exercise.
3854-4096ea0a-299d-4d6b-9a80-5223d4b04902,matcher,543026,yes,yes,yes,liked,,"I followed the instructions, assuming that similar objects to the Director's instructions hidden by curtains weren't what they were referencing as they couldn't see them."
1265-dda0c278-294f-47c4-abcd-f8a8ef498f56,director,468225,yes,yes,yes,okay,Everything was clear,I just instructed them where to move things and they were quick
9337-02513d8c-6993-461d-ab39-7abc545c960c,director,449496,yes,yes,yes,liked,,"simple, straightforward, descriptive"
7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,matcher,576960,yes,yes,yes,liked,,I tried to follow my partner's instructions
0176-a2c355d9-8f0d-44d3-b8d3-29df824e374f,director,570693,yes,yes,yes,okay,,SOMEWHAT NICE
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,director,680676,no,yes,yes,liked,"I thought I would have a chance to interact with my partner, but he never said anything.",I stated the identity of the object and used left right up and down for directions. I clarified which object I meant if two were similar.
1423-c9e58987-02a2-4277-a40a-a24bc9f38de3,matcher,608226,yes,yes,yes,okay,,"I forgot about the curtain at first. After getting that wrong once, I just looked at everything in the white boxes to determine which the director was talking about."
2545-aee7660a-6819-4679-8b0f-489856376ca4,director,75523,yes,yes,yes,loved,I would have liked to actually do it it seemed interesting,I was not able to play the game as my partner dropped out
4676-314524a9-155b-46ac-83db-dd6ef99bf7af,matcher,106752,yes,yes,yes,not much,Fun task ,My partner left so not much strategy
1552-aed8937c-6189-4750-ae14-63e8ed41fc22,matcher,1246545,yes,yes,yes,loved,,I followed the instruction of my director
1552-aed8937c-6189-4750-ae14-63e8ed41fc22,director,1423842,yes,yes,yes,okay,,at first hard but then very easy
6826-7281a7f9-b5f0-4492-80b6-6248cf2c0f97,director,382552,yes,yes,yes,not much,My partner never showed up.,"I didn't have a strategy, my partner never showed up."
1042-4cd92598-c59f-4411-b8b6-227e39f9a812,matcher,1336783,no,yes,yes,okay,,Just tried to parse what the person was telling me.
2047-38668323-11ba-4474-bd64-92399aa2aadc,matcher,106217,yes,yes,yes,not much,Was excited to try it so I'm a little disappointed that my partner disconnected.,My strategy was going to be do exactly as the director says.
5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,matcher,842735,yes,yes,yes,liked,,I tried to best guess which object the person wanted me to move
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,matcher,609266,no,yes,yes,okay,it seemed very simple and to be a waste of your money,follow directions
