gameid,role,gameLength,thinksHuman,understandsInstructions,nativeEnglish,ratePartner,comments,strategy
8964-2c472d88-517c-4ef8-8aa8-089d9d2876db,listener,359638,yes,yes,yes,liked,,comparing the words to the images
8621-a5ab85e7-22b3-468e-acfb-548a26e2387d,speaker,773046,no,yes,yes,okay,none,Describe exactly what I see.
1185-86cb1927-6496-45f8-9bff-78096ec538c0,speaker,529477,yes,yes,yes,liked,,"Always give the outline color and the shape. If there were curtains, give the inside pattern as well."
1185-86cb1927-6496-45f8-9bff-78096ec538c0,listener,483728,yes,yes,yes,loved,Realized about halfway through that the objects in the curtain do not matter even if they might match the description that the speaker gave because the speaker cannot see it. The speaker would have to be able to see the object to describe it.,Just clicked the object that the speaker was describing.
2935-77f0935d-5261-42e5-8cf9-37e733dfb129,speaker,629824,yes,yes,yes,loved,,I tried to be very descriptive
5459-5459411f-4723-40bd-94a7-4b6b7904160c,speaker,409526,yes,yes,yes,loved,,I used the outline the fill and the shape to identify the target
3493-0f243055-f356-4cf5-9bc3-3367776efde8,listener,469502,no,yes,yes,loved,,just listen to what the person was telling me
6580-daed1634-1b8f-47bb-99cc-569c05381caa,listener,663837,yes,yes,yes,okay,,I followed my partner's words
7391-f2571774-da75-4608-bc17-8c66b5372071,listener,908073,yes,yes,yes,loved,Thanks for the study!,I listened to the instructions they told me.
7011-10558aa0-7027-4676-9523-a9ea90b0837a,speaker,591219,yes,confused,yes,loved,,i described the shape
